CERTNumber,UBPRReportingPeriod,UBPR7316,UBPR7400,UBPR7402,UBPR7408,UBPR7410,UBPR7414,UBPRD486,UBPRD487,UBPRD488,UBPRD490,UBPRD646,UBPRD647,UBPRD648,UBPRD649,UBPRD650,UBPRE001,UBPRE002,UBPRE003,UBPRE004,UBPRE005,UBPRE006,UBPRE008,UBPRE009,UBPRE010,UBPRE012,UBPRE013,UBPRE018,UBPRE019,UBPRE023,UBPRE024,UBPRE025,UBPRE026,UBPRE027,UBPRE084,UBPRE085,UBPRE088,UBPRE089,UBPRE090,UBPRE091,UBPRE093,UBPRE094,UBPRE095,UBPRE097,UBPRE099,UBPRE100,UBPRE101,UBPRE102,UBPRE104,UBPRE106,UBPRE108,UBPRE109,UBPRE110,UBPRE112,UBPRE113,UBPRE114,UBPRE115,UBPRE267,UBPRE272,UBPRE277,UBPRE315,UBPRE316,UBPRE317,UBPRE318,UBPRE319,UBPRE320,UBPRE321,UBPRE322,UBPRE345,UBPRE349,UBPRE350,UBPRE352,UBPRE353,UBPRE354,UBPRE357,UBPRE362,UBPRE363,UBPRE364,UBPRE365,UBPRE370,UBPRE371,UBPRE372,UBPRE373,UBPRE389,UBPRE390,UBPRE393,UBPRE394,UBPRE395,UBPRE396,UBPRE399,UBPRE401,UBPRE405,UBPRE407,UBPRE408,UBPRE410,UBPRE414,UBPRE415,UBPRE416,UBPRE417,UBPRE418,UBPRE419,UBPRE420,UBPRE422,UBPRE423,UBPRE424,UBPRE483,UBPRE484,UBPRE487,UBPRE488,UBPRE491,UBPRE492,UBPRE499,UBPRE500,UBPRE503,UBPRE504,UBPRE507,UBPRE508,UBPRE511,UBPRE512,UBPRE515,UBPRE516,UBPRE519,UBPRE520,UBPRE535,UBPRE536,UBPRE541,UBPRE542,UBPRE543,UBPRE544,UBPRE549,UBPRE553,UBPRE554,UBPRE555,UBPRE556,UBPRE557,UBPRE558,UBPRE559,UBPRE560,UBPRE561,UBPRE562,UBPRE563,UBPRE565,UBPRE566,UBPRE570,UBPRE571,UBPRE572,UBPRE573,UBPRE574,UBPRE575,UBPRE576,UBPRE577,UBPRE578,UBPRE579,UBPRE580,UBPRE581,UBPRE586,UBPRE587,UBPRE594,UBPRE595,UBPRE600,UBPRE624,UBPRE630,UBPRE635,UBPRE637,UBPRE879,UBPRE884,UBPRF897,UBPRJ243,UBPRK440,UBPRK443,UBPRK444,UBPRK447,UBPRR029
10011,9302015,4.4721,1.6962,111.7387,2.6152,0.9159,1.5323,9.13,12.97,14.24,19.072,2.9684,231.554,36.0394,231.554,36.0394,3.9143,0.2674,3.6469,0.5096,2.5996,0,0,1.5569,1.4633,1.0275,1.4633,3.8155,-0.2263,2.3988,63.001,-1.8225,16.4542,2.1823,0.23,0.6734,62.5438,60.5113,3.5931,5.2476,5.2642,4.7315,9.8636,5.5476,2.2385,1.8998,1.1272,2.0412,1.0833,0.3283,0.1297,1.0367,0.6663,0.2315,2.1081,NULL,0.3443,12.3683,1.5917,14.1875,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,10.6196,0,17.4608,3.0156,93.243,0,13.028,13.7765,7.0703,30.8424,88.1993,1.6174,0.6517,0,32.9142,0.0191,0.5129,1.7795,1.5655,0,0,0.0427,-0.0034,0,-2.6647,-0.2944,2.2924,22.6768,2.4067,22.7463,1.0887,32.9142,81.7184,5.098,8.7853,1.4925,0.3911,2.3464,2.7839,0.63,1.4821,0.7073,0.964,1.6035,0,0.0551,0,0,0.6372,3.8234,NULL,NULL,1.4821,0.7073,0,0,0,1.5323,0,0.6368,1.5323,14.0543,0.4094,3.9242,70.1809,1.7486,13.6234,2.158,0.6096,0.4598,0.6958,0.2055,3.0625,18.2215,33.7107,5.3158,28.3949,66.1154,13.6539,52.4615,64.0313,189.9436,-30.3206,7.5988,2.2446,9.8433,0,NULL,-0.0034,0,71.9193,25.9084,15.5255,2.0918,1.6816,359.8903,522.7265,5.4194,9.4032,21.5394,86.2566,1.9427,-5.1211,12.97
10040,9302015,-10.2284,1.0815,0,-0.067,-15.7675,0.0783,22.11,58.23,59.48,0,0,0,0,10.6636,10.1737,2.2628,0.0656,2.1972,0.2382,2.0294,-0.0608,0.0243,0.491,0.3548,0.3548,0.3548,2.2302,-0.084,2.7547,22.7437,1.6633,0.7782,-0.592,0.2625,0.6854,83.3308,53.938,4.9668,4.4169,4.6207,4.8337,3.9116,NULL,1.8029,1.7499,1.7099,3.4631,1.0576,0.0187,0.0085,0.096,0.0443,NULL,4.0888,NULL,0.123,1.9493,0,4.0743,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,14.1412,0.4529,8.566,51.5199,96.9171,0,25.0052,15.6253,3.2731,25.0686,77.3983,0,1.3587,0,2.6771,0.2519,0,0,NULL,8.1778,NULL,-0.1584,0,NULL,0,0,0,53.3113,0,18.1622,0,10.855,82.3285,0.0851,1.7214,9.5688,NULL,NULL,0,0,0,0,4.902,0,0,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,0.0783,0,NULL,0,0.0783,11.3792,0.8767,9.2377,70.2242,0,22.8791,0.8767,0,0,3.2031,0,48.1816,10.0339,51.37,0.7651,50.6049,69.3091,2.2971,67.012,68.9814,134.2835,-17.6114,14.664,0,14.664,NULL,0,0,0,29.6989,16.1919,1.6633,3.1139,0,30.5143,84.5132,4.0955,21.2018,6.7332,75.7054,1.6929,-16.8032,58.23
10055,9302015,12.4918,2.1616,0,0.9132,7.8849,4.5308,5.27,6.75,8.01,191.5856,16.8846,285.0519,25.1218,554.7665,48.8919,4.3765,0.3109,4.0655,1.1865,5.2957,0,0,-0.0436,-0.0436,-0.0436,-0.0436,4.5269,0.5876,2.7819,69.9914,-0.833,112.983,9.3311,0.7746,2.3594,100.831,57.1157,2.6274,6.1555,6.0842,6.4176,8.4311,NULL,1.9029,1.9029,1.576,1.991,0.2296,0.4249,0.4149,0.5292,0.6165,NULL,0.3555,NULL,0.422,7.0393,0,7.1164,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,10.7239,0,0,8.8486,87.1581,4.1806,20.1761,20.0549,11.6835,7.5491,90.9011,0,3.1294,0,5.4615,0.7164,1.5302,16.53,0.6209,25.413,1.479,0.2082,0.7683,NULL,-0.0311,1.0966,18.0602,20.2957,2.2243,9.5341,3.6401,30.8745,82.4048,1.6308,13.5522,2.4116,15.4777,2.801,4.4341,1.6471,0.0343,5.8299,0.1134,0,0.1053,1.2105,0,0,19.4141,3.5134,0.0421,7.1532,0,0,NULL,NULL,0.05,4.4808,0,2.6676,9.8751,13.8213,0.9875,1.8043,63.3461,0,3.6642,0.9875,0,0,0,0,8.4023,0,15.0146,0.465,14.5496,46.9345,3.2794,43.6551,60.2004,400.9455,-45.1858,0,0,0,1.6159,-0.0784,4.7083,0,76.9527,92.3849,-0.833,3.1113,0,487.0947,905.3016,6.0795,5.3426,30.2848,89.7484,1.1524,-5.4466,6.75
10075,9302015,-6.2016,1.2959,17.3913,3.0491,-19.3956,0,11.59,21.66,22.13,1.6695,0.382,3.7073,0.8484,24.822,5.6801,3.7344,0.2408,3.4935,0.3937,2.156,0.0153,0,1.716,1.055,1.055,1.055,3.7195,0.0863,0.4776,51.5481,7.7082,0,5.0839,0.2294,0.6307,55.4622,64.5698,4.9091,5.5078,4.9409,5.4164,6.9838,4.0233,3.2868,2.3322,1.3892,NULL,1.2247,0.3569,0.1941,0.9853,0.7006,NULL,0,NULL,0.3513,6.7076,11.9777,18.6853,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,21.9741,0,0,23.6111,94.117,0,15.093,23.2116,8.7991,16.1222,87.3339,0,1.0589,0,0.3719,0.0863,0.3632,0,NULL,5.4065,0,0.2187,0,0,0,0,0.3632,38.8107,0,6.0519,0,5.7784,51.0043,21.7997,10.0967,15.0488,0,0,0,5.1076,0,0,0,0,0,0.0727,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,1.9439,0,19.3604,0,0,55.5843,0.454,7.2721,0.454,0,0,0,0,23.1492,0,20.2858,3.3,16.9858,40.3184,11.3927,28.9256,63.7906,314.4599,-43.5048,0,0,0,NULL,0,0,0,58.8036,64.2363,9.331,3.4922,0,51.5099,218.5367,4.9094,11.1357,24.1074,87.3332,0,-28.6083,21.66
10101,9302015,0.7744,1.3461,5.8333,9.4982,16.1863,0.4761,10.67,13.9,15.13,36.683,5.2599,36.8102,5.2782,106.7638,15.3088,4.4031,0.6646,3.7385,0.6416,2.4626,0.1829,0,1.7346,1.0569,1.0569,1.0569,4.0292,0.1543,1.1642,79.9702,9.7175,5.9753,3.9477,0.3923,0.7242,56.2227,48.1685,3.5728,5.3804,5.0224,5.9742,7.2808,5.4962,1.7073,1.3201,0.9152,NULL,NULL,0.9154,0.3139,1.2252,1.7863,NULL,0.4174,NULL,0.9022,10.6416,0,10.69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2253,0,2.0827,4.3384,6.9364,91.4592,0.0788,15.8034,9.5476,13.0593,12.8273,87.7455,0,1.5333,0,0,0.1751,4.1432,0.3519,2.6519,10.5235,-0.0192,0,0.5982,-0.0095,0.4731,0.486,4.495,36.5067,5.3952,19.9087,0.0192,10.5235,71.4533,9.3173,9.2796,9.9067,0,0,1.1536,1.2779,0.464,0,0,0.5377,0.1546,0.9148,0,0,0,0,0.464,0,NULL,NULL,0,0.0849,0.0371,0.439,-0.0208,0.6057,0.5855,23.3606,0.9094,2.2544,67.4874,0,7.3674,0.9094,0,0,0.2545,0.3369,6.2335,4.0575,26.3132,7.6539,18.6594,62.3658,17.6919,44.6738,51.5516,195.9154,-25.2384,2.387,3.1604,5.5473,0,0.5982,NULL,0,91.5314,0,10.3195,9.9774,3.161,210.9308,498.0656,5.0102,10.3012,32.0672,83.3049,4.4406,4.4846,13.9
10114,9302015,-0.7529,1.2296,26.7728,5.9457,-11.5357,0.0575,9.91,15.91,16.89,13.4931,3.0501,27.2759,6.1658,43.4378,9.8192,3.1451,0.2905,2.8546,0.6256,2.1674,0,0,1.3128,0.833,0.833,0.833,3.0188,0.0212,1.3177,44.2269,6.4481,0.4268,2.0942,0.2568,0.6811,62.2779,59.129,4.8885,4.8218,4.772,4.6594,6.5333,4.1275,2.2685,1.8696,1.773,NULL,0.6615,0.4039,0.288,0.6763,0.788,0.4608,4.7336,NULL,0.4137,12.5031,0.6181,13.2858,0,0,0,0,100,100,0,0,0.0307,7.7891,0.8066,2.3879,35.8442,92.6426,0.0174,20.3121,27.4958,7.8675,13.7227,89.6461,0.4887,0.1486,0,2.9484,0.0265,3.3578,0.7127,22.8966,3.7547,0,0,0,0,0,0.4667,4.0706,23.8531,4.4401,26.2491,0,6.7031,60.8759,18.012,15.9198,3.9462,0,0,0,0.3621,0,0,0.378,0,0,0.0946,0,0,0,0,0,0,0,0,0,0.1134,0,0.0575,0,0.1171,0.0972,9.0869,0,1.2985,73.5681,2.9537,27.9937,2.9537,0,0,2.0856,0,35.4789,2.3836,49.0955,0.9525,48.1429,64.1218,5.5854,58.5364,69.5124,141.5862,-20.4169,21.8607,0,21.8607,0,0,0,0,49.6798,41.0467,8.8056,10.6588,0,148.6437,276.0776,4.6658,9.3223,19.1226,88.5208,1.1251,-16.7882,15.91
10118,9302015,5.9851,2.0644,49.0998,11.5807,17.1223,0.9366,10.59,13.36,14.61,23.2584,3.5364,67.0515,10.195,132.291,20.1144,4.323,0.6162,3.7068,1.4813,3.1072,0.1912,0,1.8898,1.7465,1.2473,1.7465,3.9737,0.076,1.3247,73.5367,7.1232,3.6972,11.2329,0.2711,0.7717,59.8892,80.9646,3.9936,5.2185,4.9531,5.7872,7.8298,5.3637,2.9484,2.392,1.5589,2.0197,1.0739,0.6373,0.4071,1.1222,1.2086,0.6565,2.4456,NULL,0.775,9.6791,2.0958,12.1192,0,0,0,0,100,100,0,0,0.0712,3.4968,0,0,16.343,92.1277,0.0119,7.0927,17.4107,6.19,21.9391,79.9107,1.0111,5.8709,0,4.7706,0.0912,1.5205,1.9256,1.9737,9.3638,0,0.1516,0,0,0.2151,0.3954,3.4461,23.4729,0.3261,23.0445,1.7307,14.1344,65.8286,19.2461,12.0434,2.8489,0,0,1.6084,1.7203,0,0,4.3993,1.0794,0.5707,1.3951,0,0,0,0,0,0,0,0,0.0138,0.1245,0.2654,0.6712,0,0.6854,0.9366,20.835,0.636,6.6005,67.9322,1.3716,13.3237,2.0076,0,0,0,0,14.7422,0,41.8051,7.6221,34.183,65.8714,18.7873,47.0841,52.3393,125.1984,-10.5342,0,0,0,0,0,0,0,92.8376,8.4459,13.9944,8.916,0,260.8419,446.0196,5.1741,12.4523,25.6084,78.2409,1.6699,6.5717,13.36
10157,9302015,8.6929,2.2888,151.7776,-1.5651,2.8441,0.3943,8.62,12.19,13.29,46.9038,7.2939,225.1733,35.0163,322.3953,50.1351,3.6573,0.1918,3.4655,1.5518,4.0414,0,0.0446,1.0206,0.6616,0.6616,0.6616,3.8159,0.0742,1.2923,58.6073,-3.5928,26.9654,5.2174,0.4837,1.2689,80.5485,56.8525,2.5626,5.2245,5.1619,5.1883,5.3578,NULL,2.0723,1.712,1.2171,2.4112,0.2348,0.2837,0.1258,0.801,0.6807,0.0565,NULL,NULL,0.2767,12.3293,0,12.4985,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.187,2.595,0.066,0.0003,29.1419,89.9181,0.5267,20.7928,14.4107,11.182,22.086,87.5011,2.2581,0,0,25.2236,0.0938,2.317,5.4371,4.9716,16.5702,0.714,0.0142,0.0074,NULL,0,0.3754,7.7541,28.9254,6.9576,7.2844,0,41.7937,85.7576,2.4514,8.4779,2.8009,0,0.2531,0.0957,0.8824,0.4913,0.7291,0,0,0,0.3947,0,0.7274,0,0,0,1.6216,0.7592,0.2424,NULL,NULL,0.1344,0.2599,0,0.6336,0.8877,13.012,0.9545,3.531,73.8463,0.8831,13.1475,1.8376,1.4592,1.0716,0,0.0149,29.3519,0,48.2363,3.8287,44.4076,71.8407,9.8677,61.973,69.5265,144.1374,-21.2902,0,0.1761,0.1761,1.0183,0.0186,0,0,66.9016,26.5245,6.939,-0.7394,0.1644,324.4088,554.8248,4.9573,9.5504,15.8977,84.3692,3.1317,-0.8589,12.19
10159,9302015,4.2223,2.7445,42.4087,5.6818,8.6894,0.2206,8.83,14.2,15.45,23.911,3.2973,85.1519,11.7422,193.1711,26.6377,3.8532,0.2376,3.6156,1.7462,4.3092,0.0123,0.0136,1.0538,0.9632,0.6955,0.9632,3.8216,0.1019,1.128,69.462,6.4528,7.9985,2.3272,0.4696,1.0952,80.3699,89.8563,3.2063,4.9308,4.592,5.5012,7.0545,NULL,2.3325,2.0709,1.6351,2.1459,0.3749,0.3873,0.2513,0.8943,0.6547,NULL,0.7764,NULL,0.3977,5.2605,7.7272,13.1621,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4.6549,1.4407,0,20.6266,93.6737,0.0097,20.3368,16.8853,21.8416,9.5761,88.3232,0,1.6121,0,6.484,0.132,0.8912,2.1713,7.0759,15.4942,0,0.0504,0,NULL,-0.0466,1.2117,3.0625,53.4727,6.1306,0,0.4967,21.9782,79.0101,0,10.5068,7.4764,0,1.428,0.2112,0.5848,0,0,0.6864,0.2238,0.5408,0.0727,0,0,0,2.039,0,0,0,0,NULL,NULL,0.0612,0.1594,0,0.3881,0.2206,38.4018,0.9815,16.8145,51.0498,0.2949,18.0696,1.2764,2.8316,2.1511,0,0,22.1407,0,60.5968,2.3685,58.2284,73.9565,9.3353,64.6211,69.3377,114.4246,-8.7409,0,0,0,0,0,0,0,78.5226,29.9639,11.2044,1.8407,0,169.26,579.9181,4.1747,8.5558,15.7193,84.3591,3.9641,2.4411,14.2
10162,9302015,-0.3585,1.4944,43.554,6.8875,-16.5378,0.6243,9.61,15.41,16.66,15.6783,2.626,61.8832,10.365,61.8832,10.365,3.5529,0.264,3.289,0.4427,2.4151,0.0561,0,1.2605,1.193,0.8319,1.193,3.4469,0,1.332,61.3271,7.2491,9.5457,4.0263,0.3596,0.5612,64.719,59.9152,3.9786,5.3165,5.1544,4.5698,7.2215,5.2221,1.0356,0.775,-0.2899,0.6692,0.8841,0.333,0.3488,2.0382,0.6021,NULL,6.1237,NULL,0.3628,13.3654,0,13.8775,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,13.2289,1.0811,0,19.6475,93.554,0,18.6747,9.4456,45.0791,12.9678,90.3176,0,0.3706,0,6.8097,0,0,2.6126,2.1777,0,0,0,0,0,0,0,2.6126,9.3928,0.7513,20.0717,0,6.8097,38.8868,37.5629,17.5091,6.0411,0,0,0,1.2938,2.0575,0,2.7568,2.7568,0,0.5176,NULL,NULL,0,0,NULL,NULL,2.0575,0,0,0,0.0126,0.6116,NULL,0.6116,0.6243,9.7774,0,0.0424,70.2641,1.0148,2.4805,1.0148,1.0604,1.0604,0.7855,0,19.327,0,16.8968,0.355,16.5418,35.6222,1.3149,34.3073,85.5742,506.4522,-68.6774,8.1566,0,8.1566,0,NULL,0,0,68.3025,19.3124,12.8425,6.8859,0,165.2331,233.3937,5.5342,9.2201,4.1504,90.3176,0,-17.0592,15.41
